### Module positions - created on Thu Aug  9 16:36:20 2018 ###
### Printed by Pcbnew version pcbnew 4.0.7-e2-6376~61~ubuntu18.04.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                   Package                                      PosX       PosY       Rot  Side
C1        100n                  SM0603                                   121.0000   -80.0000  270.0000  top
C2        C                     SM0603                                   113.8500   -30.0000    0.0000  top
C3        C                     SM0603                                   108.0000   -35.7500  315.0000  top
C4        100n                  SM0603                                   100.0000   -57.7500   90.0000  top
C5        10u                   SM0603                                   137.5000  -126.5000  270.0000  top
C6        10u                   SM0603                                   137.5000  -121.0000   90.0000  top
C7        100n                  SM0603                                   150.0000   -80.0000  270.0000  top
C8        C                     SM0603                                   159.7500   -46.8500  270.0000  top
C9        C                     SM0603                                   166.5000   -46.8500  270.0000  top
C10       100n                  SM0603                                   132.0000   -80.0000  270.0000  top
D1        NSR0530HT1G           D_SOD-323_HandSoldering                  110.0000   -70.0000  180.0000  top
D2        NSR0530HT1G           D_SOD-323_HandSoldering                  143.0000  -122.5000    0.0000  top
D3        NSR0530HT1G           D_SOD-323_HandSoldering                  143.0000  -127.5000    0.0000  top
D4        NSR0530HT1G           D_SOD-323_HandSoldering                  143.0000  -125.0000    0.0000  top
D5        NSR0530HT1G           D_SOD-323_HandSoldering                  125.0000   -72.5000  180.0000  top
DP1       PESD3V3L4UW,115       SOT-666                                  180.0000  -120.0000  180.0000  top
DP2       PESD3V3L4UW,115       SOT-666                                  105.0000   -91.0000  180.0000  top
DP3       PESD5V0L4UW,115       SOT-666                                  149.2500  -123.7500  180.0000  top
DP4       PESD3V3L4UW,115       SOT-666                                  160.7500  -123.7500  180.0000  top
DP5       PESD3V3L4UW,115       SOT-666                                  105.0000  -116.0000  180.0000  top
J3        Micro USB vertical    USB_Micro-B_Vertical_Molex-105133-0001   155.0000  -129.8250    0.0000  top
J4        Micro USB horizontal  USB_Micro-B_Molex-105017-0001            155.0000  -137.2500    0.0000  top
L1        1k@100MHz             SM0603                                   185.0000  -116.0000  180.0000  top
L2        1k@100MHz             SM0603                                   185.0000  -113.5000  180.0000  top
L3        1k@100MHz             SM0603                                   185.0000  -118.5000  180.0000  top
L4        1k@100MHz             SM0603                                   110.0000   -91.0000  180.0000  top
L5        1k@100MHz             SM0603                                   110.0000   -88.5000  180.0000  top
L6        1k@100MHz             SM0603                                   110.0000   -93.5000  180.0000  top
L7        1k@100MHz             SM0603                                   161.5000  -119.0000  270.0000  top
